# initial holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,cash,Share,,,,,,,,,,,
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008450,1008436,1008436,1008436,CANCEL,BUY,1,1200,2018-08-14T00:46:43.559,2018-08-14T00:46:43.564
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008451,1008451,1008451,1008597,LIMIT,BUY,1,1200,2018-08-14T00:46:43.671,2018-08-14T00:50:49.273
roused-nipper,Surfer16@bmm,4891,342,6224,6224,674,NULL,1008452,1008452,1008452,1008483,LIMIT,BUY,1,1100,2018-08-14T00:46:44.557,2018-08-14T00:47:35.478
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008453,1008453,1008453,1008481,LIMIT,BUY,1,1220,2018-08-14T00:46:45.897,2018-08-14T00:47:28.303
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008454,1008454,1008454,1008504,LIMIT,BUY,1,1210,2018-08-14T00:46:45.982,2018-08-14T00:48:08.159
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008455,1008390,1008390,1008390,CANCEL,BUY,1,1110,2018-08-14T00:46:46.126,2018-08-14T00:46:46.131
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008456,1008388,1008388,1008388,CANCEL,BUY,1,1110,2018-08-14T00:46:46.982,2018-08-14T00:46:46.987
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008457,1008388,1008388,1008457,CANCEL,BUY,1,1110,2018-08-14T00:46:47.234,2018-08-14T00:46:47.238
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008458,1008384,1008384,1008384,CANCEL,BUY,1,1110,2018-08-14T00:46:47.683,2018-08-14T00:46:47.687
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008459,1008384,1008384,1008459,CANCEL,BUY,1,1110,2018-08-14T00:46:47.813,2018-08-14T00:46:47.817
roused-nipper,Surfer16@bmm,4891,342,6224,6224,674,NULL,1008460,1008460,1008460,1008462,LIMIT,BUY,1,1100,2018-08-14T00:46:48.051,2018-08-14T00:46:52.807
roused-nipper,Surfer5@bmm,4880,342,6224,6224,674,NULL,1008461,1008461,1008461,1008433,LIMIT,SELL,1,1220,2018-08-14T00:46:50.002,2018-08-14T00:46:50.006
roused-nipper,Surfer16@bmm,4891,342,6224,6224,674,NULL,1008462,1008460,1008460,1008460,CANCEL,BUY,1,1100,2018-08-14T00:46:52.802,2018-08-14T00:46:52.807
roused-nipper,Surfer7@bmm,4882,342,6224,6224,674,NULL,1008463,1008409,1008409,1008409,CANCEL,BUY,1,1140,2018-08-14T00:46:53.211,2018-08-14T00:46:53.215
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008464,1008464,1008464,1008474,LIMIT,BUY,1,1160,2018-08-14T00:46:55.148,2018-08-14T00:47:15.061
roused-nipper,Surfer7@bmm,4882,342,6224,6224,674,NULL,1008465,1008465,1008465,NULL,LIMIT,BUY,1,1180,2018-08-14T00:46:55.433,2018-08-14T00:46:55.435
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008466,1008466,1008466,1008435,LIMIT,SELL,1,1220,2018-08-14T00:46:58.262,2018-08-14T00:46:58.268
