Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008934,1008934,1008934,NULL,LIMIT,SELL,1,1310,2018-08-14T01:11:43.411,2018-08-14T01:11:43.413
roused-nipper,Surfer16@bmm,4891,344,6226,6226,676,NULL,1008935,1008935,1008935,1009032,LIMIT,SELL,1,1300,2018-08-14T01:11:45.320,2018-08-14T01:14:28.795
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008936,1008936,1008936,1008931,LIMIT,SELL,1,1290,2018-08-14T01:11:45.790,2018-08-14T01:11:45.795
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008937,1008937,1008937,NULL,LIMIT,SELL,1,1380,2018-08-14T01:11:53.699,2018-08-14T01:11:53.701
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008938,1008938,1008938,NULL,LIMIT,SELL,1,1380,2018-08-14T01:11:53.933,2018-08-14T01:11:53.936
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008939,1008939,1008939,NULL,LIMIT,SELL,1,1380,2018-08-14T01:11:54.170,2018-08-14T01:11:54.172
roused-nipper,Surfer19@bmm,4894,344,6226,6226,676,NULL,1008940,1008940,1008940,1008892,LIMIT,SELL,1,1280,2018-08-14T01:11:58.645,2018-08-14T01:11:58.651
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008941,1008867,1008867,1008867,CANCEL,SELL,1,1430,2018-08-14T01:11:59.118,2018-08-14T01:11:59.122
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008942,1008867,1008867,1008942,CANCEL,SELL,1,1430,2018-08-14T01:11:59.274,2018-08-14T01:11:59.278
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008943,1008865,1008865,1008865,CANCEL,SELL,1,1430,2018-08-14T01:11:59.452,2018-08-14T01:11:59.456
roused-nipper,Surfer19@bmm,4894,344,6226,6226,676,NULL,1008944,1008944,1008944,1008904,LIMIT,SELL,1,1280,2018-08-14T01:11:59.836,2018-08-14T01:11:59.841
roused-nipper,Surfer20@bmm,4895,344,6226,6226,676,NULL,1008945,1008945,1008945,1008952,LIMIT,BUY,1,1280,2018-08-14T01:12:05.616,2018-08-14T01:12:20.681
roused-nipper,Surfer8@bmm,4883,344,6226,6226,676,NULL,1008946,1008946,1008946,1008953,LIMIT,SELL,1,1300,2018-08-14T01:12:06.448,2018-08-14T01:12:22.977
